diagnostico_principal;contexto;poscoordinacion;ruido_clinico;tiempo_respuesta;explicacion
Várices esofágicas secundarias con hemorragia;Error en contexto;Error en poscoordinacion;Error en ruido;31.64;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Neumonía, organismo sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;7.95;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Pielonefritis aguda;Error en contexto;Error en poscoordinacion;Error en ruido;7.78;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Hemorragia gastrointestinal, sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;7.78;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Neumonía, organismo sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;8.2;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Trastornos de la regulación inmunitaria con predominio de la linfoproliferación;Error en contexto;Error en poscoordinacion;Error en ruido;61.96;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
Esta es una conversación entre un usuario y un as..."
Neuromielitis óptica, sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;32.58;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Neumonía bacteriana, sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;8.13;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Insuficiencia respiratoria aguda de tipo I;Error en contexto;Error en poscoordinacion;Error en ruido;7.77;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Infarto agudo de miocardio sin elevación del segmento ST;Error en contexto;Error en poscoordinacion;Error en ruido;7.78;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Taquicardia ventricular y paro cardíaco por fibrilación;Error en contexto;Error en poscoordinacion;Error en ruido;7.76;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Insuficiencia cardíaca, sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;7.66;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Infarto agudo de miocardio con elevación del segmento ST;Error en contexto;Error en poscoordinacion;Error en ruido;7.64;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Otra colitis ulcerosa, sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;7.62;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
Neumonía, organismo sin especificación;Error en contexto;Error en poscoordinacion;Error en ruido;7.75;"Error al procesar JSON o API: El modelo no generó un JSON. Respuesta cruda: 
A chat between a curious user and an artificial i..."
